Year,Publication,Model,Paper URL,Recall@20,Recall@50,NDCG@20,NDCG@50,HitRate@20,HitRate@50,Running Steps,Contributor
2001,WWW'01,ItemCF,https://files.grouplens.org/papers/www10_sarwar.pdf,0.157,0.2549,0.1214,0.1527,0.5094,0.665,https://github.com/reczoo/BARS/tree/main/matching/item2item/ItemCF/ItemCF_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2009,UAI'09,MF-BPR,https://arxiv.org/abs/1205.2618,0.1627,0.2533,0.1378,0.1662,0.5544,0.6936,https://github.com/reczoo/BARS/tree/main/matching/cf/MF_BPR/MF_BPR_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2011,ICMD'11,SLIM,https://ieeexplore.ieee.org/document/6137254,0.1699,0.2658,0.1382,0.1687,0.5564,0.696,https://github.com/reczoo/BARS/tree/main/matching/cf/SLIM/SLIM_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2016,MLSP'16,Item2Vec,https://arxiv.org/abs/1603.04259,0.1326,0.2158,0.1057,0.132,0.4743,0.6188,https://github.com/reczoo/BARS/tree/main/matching/item2item/Item2Vec/Item2Vec_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,WWW'17,CML,https://scholar.archive.org/work/f3326mghgzcsjagczw6hr5lmce/access/wayback/http://pdfs.semanticscholar.org/61a9/f78bd184c0f95ffcbc10997d6b88a50be2c3.pdf,0.167,0.2602,0.1292,0.1587,0.541,0.675,https://github.com/reczoo/BARS/tree/main/matching/cf/benchmarks/CML/CML_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2019,WWW'19,EASE^R,https://arxiv.org/abs/1905.03375,0.1765,0.2701,0.1467,0.176,0.5727,0.7081,https://github.com/reczoo/BARS/tree/main/matching/cf/EASE_R/EASE_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,TOIS'20,ENMF,http://www.thuir.cn/group/~mzhang/publications/TOIS2020Chen.pdf,0.1523,0.2379,0.1315,0.1583,0.5336,0.6701,https://github.com/reczoo/BARS/tree/main/matching/cf/ENMF/ENMF_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,AAAI'20,LR-GCCF,https://ojs.aaai.org/index.php/AAAI/article/view/5330,0.1519,,0.1285,,0.1555,,https://github.com/reczoo/BARS/tree/main/matching/gnn/LR_GCCF/LR_GCCF_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,SIGIR'20,LightGCN,https://arxiv.org/abs/2002.02126,0.182,0.2821,0.1547,0.1859,0.5924,0.7295,https://github.com/reczoo/BARS/tree/main/matching/gnn/LightGCN/LightGCN_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2020,SIGIR'20,DGCF,http://staff.ustc.edu.cn/~hexn/papers/sigir20-DGCF.pdf,0.1794,,0.1521,,,,,"<a href=""https://arxiv.org/abs/2007.01764"">Wang et al.</a>"
2016,RecSys'16,YoutubeDNN,https://research.google.com/pubs/archive/45530.pdf,0.1754,0.2711,0.1473,0.1772,0.5628,0.6978,https://github.com/reczoo/BARS/tree/main/matching/two_tower/YoutubeDNN/YoutubeDNN_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2017,CIKM'17,GRMF,https://dl.acm.org/doi/10.1145/3132847.3133036,0.1477,,0.1205,,,,,"<a href=""https://arxiv.org/abs/2002.02126"">He et al.</a>"
2017,WWW'17,NeuMF,https://arxiv.org/abs/1708.05031,0.1399,,0.1212,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,SIGIR'18,CMN,https://arxiv.org/abs/1804.10862,0.1405,,0.1221,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,KDDW'18,GC-MC,https://arxiv.org/abs/1706.02263,0.1395,,0.1204,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,KDD'18,PinSage,https://arxiv.org/abs/1806.01973,0.138,,0.1196,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,RecSys'18,HOP-Rec,https://dl.acm.org/doi/10.1145/3240323.3240381,0.1399,,0.1214,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2018,WWW'18,MultVAE,https://dl.acm.org/doi/10.1145/3178876.3186150,0.1641,,0.1335,,,,,"<a href=""https://arxiv.org/abs/2002.02126"">He et al.</a>"
2019,ICML'19,DisenGCN,https://proceedings.mlr.press/v97/ma19a.html,0.1356,,0.1174,,,,,"<a href=""https://arxiv.org/abs/2007.01764"">Wang et al.</a>"
2019,SIGIR'19,NGCF,https://arxiv.org/abs/1905.08108,0.157,,0.1327,,,,,"<a href=""https://arxiv.org/abs/1905.08108"">Wang et al.</a>"
2019,NeurIPS'19,MacridVAE,https://papers.nips.cc/paper/2019/file/a2186aa7c086b46ad4e8bf81e2a3a19b-Paper.pdf,0.1618,,0.1202,,,,,"<a href=""https://arxiv.org/abs/2007.01764"">Wang et al.</a>"
2020,SIGIR'20,NIA-GCN,https://dl.acm.org/doi/10.1145/3397271.3401123,0.1726,,0.1358,,,,,"<a href=""https://github.com/tangxyw/RecSysPapers/blob/927b56b90a0d7252114131ad08e516c0ad143106/Match/GNN/Neighbor%20Interaction%20Aware%20Graph%20Convolution%20Networks%20for%20Recommendation.pdf"">Sun et al.</a>"
2021,CIKM'21,SimpleX,https://arxiv.org/abs/2109.12613,0.1872,0.2874,0.1557,0.1868,0.5927,0.7272,https://github.com/reczoo/BARS/tree/main/matching/cf/SimpleX/SimpleX_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,CIKM'21,UltraGCN,https://arxiv.org/abs/2110.15114,0.1862,,0.158,,,,https://github.com/reczoo/RecZoo/tree/main/matching/gnn/UltraGCN,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2021,CIKM'21,MF-CCL,https://arxiv.org/abs/2109.12613,0.1837,0.2871,0.1493,0.1816,0.584,0.7243,https://github.com/reczoo/BARS/tree/main/matching/cf/MF_CCL/MF_CCL_gowalla_m1,"<a href=""https://arxiv.org/abs/2205.09626"">Zhu et al.</a>"
2018,ICLR'18,GAT,https://arxiv.org/abs/1710.10903,0.1501,,0.1233,,,,,"<a href=""https://arxiv.org/abs/2010.12256"">Song et al.</a>"
2021,CIKM'21,GF-CF,https://arxiv.org/abs/2108.07567,0.1849,,0.1518,,,,,"<a href=""https://arxiv.org/abs/2108.07567"">Shen et al.</a>"
